"brandId","createdAt","isActive","logoUrl","name"
"brand-87ee4c0f-d50d-43aa-8db7-dc89120a4bbc","2026-07-05T08:09:22.489Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-4c9678ec-5cf1-4fcb-b8a9-482fdfe08283/logo/5f3db77a-e4f6-4c81-bf9e-9e1320833b51-Star Shine Series 7.jpg","Maruthi Fireworks"
"brand-d330893f-0183-4d4e-a61a-e57eb58868fc","2026-07-05T08:02:04.566Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-e0f1cd33-c07b-4983-b4c4-493de5c176cf/logo/a23129ed-b3ee-4f24-b4f3-856788f8b7e4-Fancy Fountain - Mega 1.jpg","Sky King Fireworks"
"brand-cc473df3-143a-4a8e-8f8f-e9dc7e6b2a3c","2026-07-05T08:01:33.025Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-d4cb5c93-8f25-4136-9425-99bf26254af2/logo/00bd2cc7-7899-4d7d-a71a-c19133da83d2-Crackling Fountain 1.jpg","Suryakala Fireworks"
"brand-82fc039f-5548-4c80-a2cf-0dc50e0c4e1e","2026-07-05T08:07:30.625Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-cac5e3d5-20ae-4958-b336-9eef2ce3cf4f/logo/28b1d895-0cdb-4fbb-9d93-64fd4aef1925-Up 2 Date Series 6.jpg","Jai Vinayagha Sparklers"
"brand-350474fd-cedc-4675-bb39-786b08e7577e","2026-07-05T08:11:43.761Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-ebf0d465-f923-4870-8ac3-0c55c4b000c4/logo/065d3d40-60fc-4c24-85d3-2bc2bc4756a7-Elite Diamond Series 9.jpg","Win Fireworks"
"brand-33ea163d-e049-491b-8544-7bb35446f797","2026-07-05T08:02:38.936Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-3baf42c0-4839-4cc3-8de6-e708662b04bd/logo/20f70bd1-eb23-46dc-95cb-eaabf5cba209-Elite Diamond Series 7.jpg","Rathna Fireworks"
"brand-e3247d69-af72-4f7d-8110-92fc09098422","2026-07-05T08:11:19.230Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-b3a774e7-8bc6-4713-b771-f5b8f53b8a19/logo/7672b914-12a0-49da-a1c0-d62bce483ac1-Top Gear Series 9.jpg","Amman Fireworks"
"brand-aa6525c7-020c-40a3-9184-2554c2d8ce61","2026-07-05T08:03:15.887Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-41cfb14d-810f-424c-ae15-24a3c7d578aa/logo/b6e52041-2806-4b7f-a51a-f6c4d3641086-Color Fountain Big 2.jpg","Gurulakshmi Fireworks"
"brand-2bd085ce-4096-4321-ac67-d323bdefb389","2026-07-05T08:07:02.303Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-ce357a81-6aa4-4698-b9f8-60ae8dbea46b/logo/715674dd-26d1-4589-a1e2-e36c92aa30e5-Flower Bouquet.jpg","RSR Fireworks"
"brand-93511537-a2f5-4050-90de-965873cca8fb","2026-07-05T08:03:56.986Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-dd12c989-64b3-4d46-953f-c15d0df78e51/logo/691eb4c4-274a-465f-a9b8-bdf6d225e296-Q Series 1.jpg","Success Fireworks"
"brand-ab02688c-c42d-48b5-a24e-2ac59d21a513","2026-07-05T07:58:54.553Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-05eb415c-98e6-4ebd-a0aa-ad455f85b821/logo/6acbe913-6f10-4670-b693-a5efbd479e46-Wonder Bouquet 2.jpg","Kanmani Fireworks"
"brand-50958a6d-ce8f-494e-9106-d7e00a2fd2e7","2026-07-05T08:00:43.888Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-010923af-1a86-40ba-b01a-b2765f4a2a87/logo/368fa642-36c8-4f2c-a452-b08a42cce42c-Elite Diamond Series 2.jpg","Sunflower Fireworks"
"brand-b58ae044-dcf6-418f-a08d-9a0df11f3f50","2026-07-05T08:05:16.613Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-e51b23d5-ec2c-4c3f-96b6-82672251558c/logo/fc3b6f2c-18fa-4a87-860d-e5a86edc54a5-Wonder Bouquet 1.jpg","Starvel Fireworks"
"brand-579b7046-057d-4c8a-8e7d-6eef740eade6","2026-07-05T08:00:09.841Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-765759c0-0350-44e3-9921-bc58fa9575da/logo/a9020c8b-77a6-48de-974e-1e08828d3e8b-Color Fountain Mini 1.jpg","Poorvika Fireworks"
"brand-fa700591-52d8-4ef0-9e22-1b4000b6baa9","2026-07-05T07:59:45.246Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-c29128ff-fbe3-4242-80b0-1900af609de5/logo/22ba04a7-0382-4344-b154-dc6248b29ef4-Wonder Bouquet 5.jpg","Sivakasi Fireworks"
"brand-4634bbd4-01b9-4710-bce6-24ba94ef3a06","2026-07-05T08:08:01.057Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-683217a4-725b-4b0c-aa81-8447ae633147/logo/32d610f7-630a-45da-810c-6ecbd79bda14-Color Fountain Big 1.jpg","Sunword Fireworks"
"brand-18a46aa1-8974-4bc8-8fe1-70f44aead7e1","2026-07-05T08:09:45.662Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-6a57e9fb-7cb6-4a4c-8761-c7dd28f81431/logo/3d6b9c3b-0c7a-4e5e-b045-4eabcb303bcf-V Star Series 1.jpg","Vanitha Fireworks"
"brand-2fbbaac1-c8a3-41a6-8e1b-0c63d30dfadc","2026-07-05T08:12:23.119Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-80ef5e0f-c94f-4c8e-9e44-697b13e59a8a/logo/6416cb42-2522-49f4-8c1d-60d1122c5e2b-Pistol 1.jpg","Rayal Fireworks"
"brand-502f2162-c9fb-4b02-8a94-f5e08777f22c","2026-07-05T08:04:43.837Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-1fe1a1ac-c256-4292-8784-4476c47ed8c6/logo/764301bc-f9cc-4898-89e4-805fd0ee8657-Star Shine Series 4.jpg","Annai Fireworks"
"brand-ed977bee-393e-426b-9ee0-f96b11ef9c59","2026-07-05T08:05:59.460Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-ce982f47-6614-43df-9d27-7976666f72aa/logo/36c75d71-9242-42ae-8fe9-23cc9a412dd1-High-Tech 4.jpg","Sonny Fireworks"
"brand-f9c3a538-1f88-4749-8ed0-9b982dc03d2f","2026-07-05T07:59:23.734Z","true","https://cracker-app.s3.ap-south-1.amazonaws.com/brands/brand-e1836ee9-bf87-4eea-b465-b5e11ffcbc05/logo/4bfa7fc4-4279-41cd-b72f-93d9b7796b36-Yes Series 1.jpg","Kumar Fireworks"
